metric_group,metric_label,count,share,unit,notes
AI exposure distribution,Low,213,0.2563,occupations,Relative AI exposure category
AI exposure distribution,Moderate,206,0.2479,occupations,Relative AI exposure category
AI exposure distribution,High,206,0.2479,occupations,Relative AI exposure category
AI exposure distribution,Very high,206,0.2479,occupations,Relative AI exposure category
High/Very high exposure outcomes,Growing,306,0.7427,occupations,Projected positive employment growth 2025-2035
High/Very high exposure outcomes,Declining,100,0.2427,occupations,Projected negative employment growth 2025-2035
High/Very high exposure outcomes,0% projected change,6,0.0146,occupations,Exactly zero projected employment change 2025-2035
